country_code,year,gdp_per_capita
ABW,2004,22566.68216
AND,2004,29372.16674
AFG,2004,220.0562878
AGO,2004,1229.342988
ALB,2004,2320.89233
ARB,2004,3169.359695
ARE,2004,40403.98817
ARG,2004,3997.243288
ARM,2004,1182.09736
ATG,2004,11076.06362
AUS,2004,30464.00376
AUT,2004,35662.21182
AZE,2004,1045.026415
BDI,2004,121.8593036
BEL,2004,34706.6939
BEN,2004,511.2929789
BFA,2004,371.2179868
BGD,2004,400.4724749
BGR,2004,3249.287396
BHR,2004,16027.34476
BHS,2004,22005.0031
BIH,2004,2578.738087
BLR,2004,2378.374894
BLZ,2004,3991.284334
BMU,2004,70359.31911
BOL,2004,954.9220895
BRA,2004,3607.191571
BRB,2004,12893.59123
BRN,2004,21819.28674
BTN,2004,1108.518343
BWA,2004,4829.516059
CAF,2004,326.1973133
CAN,2004,31011.91122
CHE,2004,50641.8372
CHI,2004,55842.65838
CHL,2004,6223.973768
CHN,2004,1490.380056
CIV,2004,902.9864166
CMR,2004,892.5257391
COG,2004,1347.870907
COL,2004,2752.913454
COM,2004,619.1105121
CPV,2004,2159.232334
CRI,2004,4379.391063
CSS,2004,6163.778449
CUB,2004,3388.766954
CYP,2004,21380.90308
CZE,2004,11177.3604
DEU,2004,33040.05141
DJI,2004,869.8001789
DMA,2004,5218.298606
DNK,2004,45282.068
DOM,2004,2407.18928
DZA,2004,2549.957193
EAP,2004,1415.348465
EAS,2004,4452.916791
ECA,2004,3173.945443
ECS,2004,17370.61946
ECU,2004,2704.665155
EGY,2004,1116.925161
EMU,2004,30117.40878
ERI,2004,237.7127366
ESP,2004,24337.5105
EST,2004,8871.710247
ETH,2004,134.2795789
EUU,2004,26769.93901
FIN,2004,36162.65601
FJI,2004,3330.309969
FRA,2004,32784.83363
FRO,2004,34520.88742
FSM,2004,2247.837771
GAB,2004,5328.485186
GBR,2004,37027.04412
GEO,2004,1186.873047
GHA,2004,426.2635109
GIN,2004,390.8845623
GMB,2004,415.8139687
GNB,2004,375.7946289
GNQ,2004,8943.676286
GRC,2004,20607.17607
GRD,2004,5844.959725
GRL,2004,28903.93583
GTM,2004,1937.715706
GUY,2004,1038.285476
HIC,2004,28431.26062
HKG,2004,24928.10037
HND,2004,1297.192455
HPC,2004,382.6937996
HRV,2004,9237.116223
HTI,2004,400.9321739
HUN,2004,10084.52184
IDN,2004,1160.614924
IMN,2004,34624.48674
IND,2004,649.7106479
IRL,2004,45766.41689
IRN,2004,2353.930989
IRQ,2004,1373.192582
ISL,2004,45370.12645
ISR,2004,18588.80505
ITA,2004,29832.6129
JAM,2004,3862.063372
JOR,2004,2156.439822
JPN,2004,36441.50449
KAZ,2004,2874.288291
KEN,2004,462.0497683
KGZ,2004,433.2351189
KHM,2004,405.9378328
KIR,2004,1149.376123
KNA,2004,10275.46966
KOR,2004,15028.81032
KSV,2004,2135.332847
KWT,2004,27061.88577
LAC,2004,3993.235476
LAO,2004,415.2222521
LBN,2004,5654.234093
LBR,2004,146.6412405
LBY,2004,6062.214524
LCA,2004,5250.552921
LCN,2004,4220.693188
LDC,2004,354.9965087
LIC,2004,301.8876447
LIE,2004,100286.6675
LKA,2004,1063.160584
LMC,2004,796.2113733
LMY,2004,1471.937424
LSO,2004,645.4934642
LTU,2004,6677.833052
LUX,2004,74388.70863
LVA,2004,6080.789964
MAC,2004,22371.61368
MAR,2004,1881.964721
MCO,2004,123263.6132
MDA,2004,720.9409321
MDG,2004,245.6704529
MDV,2004,3677.220875
MEA,2004,3652.278175
MEX,2004,7083.468525
MHL,2004,2517.693389
MIC,2004,1658.168216
MKD,2004,2643.802568
MLI,2004,421.1704288
MLT,2004,14064.2296
MNA,2004,1899.843669
MNE,2004,3372.957075
MNG,2004,798.0243785
MOZ,2004,278.7826934
MRT,2004,600.0622771
MUS,2004,5177.366465
MWI,2004,208.8557635
MYS,2004,4918.166731
NAC,2004,40859.28034
NAM,2004,3298.010724
NER,2004,240.2174387
NGA,2004,645.9256502
NIC,2004,1075.98338
NLD,2004,37458.43287
NOC,2004,8698.740096
NOR,2004,56627.65738
NPL,2004,291.8690418
NZL,2004,25194.81413
OEC,2004,33048.58787
OED,2004,28941.31437
OMN,2004,10013.63322
OSS,2004,2671.405857
PAK,2004,631.4978143
PAN,2004,4292.41963
PER,2004,2544.351348
PHL,2004,1084.765467
PLW,2004,9635.395876
PNG,2004,660.1899982
POL,2004,6620.070424
PRI,2004,20698.07295
PRT,2004,17684.06738
PRY,2004,1386.746044
PSS,2004,2340.659179
QAT,2004,44051.65727
ROU,2004,3533.266078
RUS,2004,4108.562327
RWA,2004,225.7513898
SAS,2004,617.1613915
SAU,2004,10853.62751
SDN,2004,557.2210234
SEN,2004,732.281235
SGP,2004,27047.13995
SLB,2004,819.3262838
SLE,2004,290.4135258
SLV,2004,2611.161072
SMR,2004,44976.36854
SRB,2004,3168.880708
SSA,2004,749.1553144
SSD,2004,
SSF,2004,755.6752335
SST,2004,3532.420054
STP,2004,707.7886381
SUR,2004,3007.925792
SVK,2004,10437.50991
SVN,2004,16944.18953
SWE,2004,40261.12201
SWZ,2004,2211.09193
SYC,2004,10173.57497
SYR,2004,1419.264181
TCD,2004,456.7944314
TGO,2004,358.8603201
THA,2004,2478.817568
TJK,2004,311.5502447
TKM,2004,1455.93605
TLS,2004,471.0508001
TON,2004,2400.288891
TTO,2004,9985.215426
TUN,2004,3139.529118
TUR,2004,5866.744702
TUV,2004,2232.604876
TZA,2004,349.6209315
UGA,2004,285.9641541
UKR,2004,1367.352433
UMC,2004,2509.276134
URY,2004,4117.649447
USA,2004,41928.88614
UZB,2004,465.1198869
VCT,2004,4813.329728
VEN,2004,4282.015326
VNM,2004,606.8946902
VUT,2004,1788.017092
PSE,2004,1114.392564
WLD,2004,6680.496723
WSM,2004,2094.629506
YEM,2004,707.3734732
ZAF,2004,4659.623355
COD,2004,124.049698
ZMB,2004,486.7424372
ZWE,2004,457.3841445
ABW,2005,23302.83199
AND,2005,31268.96674
AFG,2005,252.4078925
AGO,2005,1706.543616
ALB,2005,2620.820724
ARB,2005,3795.715751
ARE,2005,43533.89178
ARG,2005,4740.067029
ARM,2005,1625.396904
ATG,2005,12135.54103
AUS,2005,34011.73864
AUT,2005,37067.32383
AZE,2005,1578.36733
BDI,2005,143.7835295
BEL,2005,36011.4694
BEN,2005,532.6109983
BFA,2005,406.9988043
BGD,2005,421.1233114
BGR,2005,3733.263161
BHR,2005,18156.37747
BHS,2005,23416.90369
BIH,2005,2821.78775
BLR,2005,3126.367778
BLZ,2005,4097.528685
BMU,2005,75882.03386
BOL,2005,1020.790305
BRA,2005,4739.305437
BRB,2005,14224.98245
BRN,2005,25913.57837
BTN,2005,1258.990995
BWA,2005,5294.379478
CAF,2005,340.9078669
CAN,2005,35087.89259
CHE,2005,51734.30389
CHI,2005,57209.24916
CHL,2005,7614.522058
CHN,2005,1731.125235
CIV,2005,940.7521438
CMR,2005,914.5531201
COG,2005,1718.100815
COL,2005,3392.924413
COM,2005,644.2731325
CPV,2005,2278.164757
CRI,2005,4621.364127
CSS,2005,6995.694072
CUB,2005,3776.470549
CYP,2005,22430.60642
CZE,2005,12736.23246
DEU,2005,33542.78138
DJI,2005,912.4992045
DMA,2005,5126.249862
DNK,2005,47546.59459
DOM,2005,3635.706812
DZA,2005,3038.748713
EAP,2005,1623.083789
EAS,2005,4700.096262
ECA,2005,3869.991853
ECS,2005,18444.42686
ECU,2005,3012.752437
EGY,2005,1249.49326
EMU,2005,31084.01768
ERI,2005,226.2898568
ESP,2005,25904.17315
EST,2005,10288.72867
ETH,2005,159.8314365
EUU,2005,27873.51615
FIN,2005,37318.79732
FJI,2005,3655.663836
FRA,2005,33818.97269
FRO,2005,35211.55269
FSM,2005,2352.63934
GAB,2005,6281.954684
GBR,2005,38440.74097
GEO,2005,1469.974624
GHA,2005,501.8642947
GIN,2005,306.7011791
GMB,2005,434.4954445
GNB,2005,402.9880469
GNQ,2005,13612.84793
GRC,2005,21620.7175
GRD,2005,6803.545292
GRL,2005,29903.28404
GTM,2005,2146.179053
GUY,2005,1084.179401
HIC,2005,29978.60746
HKG,2005,26649.7508
HND,2005,1401.991728
HPC,2005,424.4960768
HRV,2005,10090.36669
HTI,2005,448.5848301
HUN,2005,10936.94861
IDN,2005,1273.465176
IMN,2005,36289.87962
IND,2005,740.1142606
IRL,2005,48697.57924
IRN,2005,2737.112118
IRQ,2005,1824.699866
ISL,2005,54885.2613
ISR,2005,19330.02435
ITA,2005,30478.84559
JAM,2005,4189.655883
JOR,2005,2325.42541
JPN,2005,35781.23498
KAZ,2005,3771.278957
KEN,2005,523.6137892
KGZ,2005,476.4800976
KHM,2005,471.1625029
KIR,2005,1173.31415
KNA,2005,10916.19012
KOR,2005,17550.82581
KSV,2005,2194.372651
KWT,2005,35185.93067
LAC,2005,4781.734611
LAO,2005,472.4084631
LBN,2005,5483.17952
LBR,2005,165.7600834
LBY,2005,7864.937572
LCA,2005,5492.864914
LCN,2005,5034.865067
LDC,2005,405.4399743
LIC,2005,328.8858642
LIE,2005,105306.7466
LKA,2005,1242.40435
LMC,2005,904.055173
LMY,2005,1712.958835
LSO,2005,710.5483628
LTU,2005,7814.006137
LUX,2005,80925.21999
LVA,2005,7165.377699
MAC,2005,25189.77936
MAR,2005,1948.201997
MCO,2005,126599.4033
MDA,2005,831.1591092
MDG,2005,275.4767076
MDV,2005,3335.195
MEA,2005,4298.72977
MEX,2005,7858.76217
MHL,2005,2642.376249
MIC,2005,1935.13387
MKD,2005,2863.96318
MLI,2005,444.2846436
MLT,2005,14810.0352
MNA,2005,2178.859483
MNE,2005,3665.327437
MNG,2005,998.7563599
MOZ,2005,313.1079297
MRT,2005,694.3200828
MUS,2005,5054.318112
MWI,2005,213.1566745
MYS,2005,5553.943582
NAC,2005,43410.62128
NAM,2005,3582.24386
NER,2005,258.2817603
NGA,2005,804.1523667
NIC,2005,1158.997008
NLD,2005,39122.29108
NOC,2005,10364.97491
NOR,2005,65767.01961
NPL,2005,321.4550186
NZL,2005,27536.81043
OEC,2005,34565.96655
OED,2005,30349.8406
OMN,2005,12252.61288
OSS,2005,3017.050588
PAK,2005,693.1766897
PAN,2005,4594.481939
PER,2005,2863.48046
PHL,2005,1200.938178
PLW,2005,10364.63693
PNG,2005,804.0711094
POL,2005,7963.021208
PRI,2005,21670.02236
PRT,2005,18265.43187
PRY,2005,1479.403769
PSS,2005,2530.773076
QAT,2005,54228.83171
ROU,2005,4651.692261
RUS,2005,5337.065324
RWA,2005,273.7470892
SAS,2005,696.8783165
SAU,2005,13303.30974
SDN,2005,669.3966844
SEN,2005,772.526793
SGP,2005,29403.39246
SLB,2005,881.9616184
SLE,2005,317.9465763
SLV,2005,2814.93504
SMR,2005,46193.67269
SRB,2005,3391.371076
SSA,2005,850.9235178
SSD,2005,
SSF,2005,861.1179093
SST,2005,3982.996299
STP,2005,736.0783198
SUR,2005,3590.541042
SVK,2005,11414.60536
SVN,2005,17854.63533
SWE,2005,41040.66502
SWZ,2005,2339.289952
SYC,2005,11086.89098
SYR,2005,1588.505672
TCD,2005,663.7096974
TGO,2005,381.7820197
THA,2005,2689.953147
TJK,2005,339.7644428
TKM,2005,1706.956726
TLS,2005,487.3235855
TON,2005,2622.949225
TTO,2005,12405.05615
TUN,2005,3218.961081
TUR,2005,7129.58488
TUV,2005,2252.896696
TZA,2005,374.9992699
UGA,2005,313.7989764
UKR,2005,1828.717626
UMC,2005,2960.820889
URY,2005,5221.673188
USA,2005,44313.58524
UZB,2005,546.7768502
VCT,2005,5070.682447
VEN,2005,5444.662518
VNM,2005,699.4878933
VUT,2005,1886.38831
PSE,2005,1209.453855
WLD,2005,7140.280982
WSM,2005,2291.030636
YEM,2005,831.8802898
ZAF,2005,5185.849388
COD,2005,133.1002707
ZMB,2005,625.8537548
ZWE,2005,452.7890275
ABW,2006,24015.42061
AND,2006,34484.70086
AFG,2006,275.3509409
AGO,2006,2440.631716
ALB,2006,2872.260625
ARB,2006,4413.363762
ARE,2006,45554.2194
ARG,2006,5490.435174
ARM,2006,2126.089566
ATG,2006,13675.08524
AUS,2006,36113.0024
AUT,2006,39299.6143
AZE,2006,2472.997476
BDI,2006,158.3050232
BEL,2006,37918.7732
BEN,2006,557.2324469
BFA,2006,422.8448175
BGD,2006,427.291167
BGR,2006,4313.430636
BHR,2006,19459.73121
BHS,2006,23733.80768
BIH,2006,3199.896836
BLR,2006,3848.596299
BLZ,2006,4363.854688
BMU,2006,83912.6978
BOL,2006,1203.254183
BRA,2006,5787.975574
BRB,2006,15691.84826
BRN,2006,30613.27687
BTN,2006,1348.730837
BWA,2006,5341.397472
CAF,2006,365.4970833
CAN,2006,39256.7093
CHE,2006,54140.49815
CHI,2006,62263.83121
CHL,2006,9371.427857
CHN,2006,2069.343631
CIV,2006,983.2914236
CMR,2006,964.6015355
COG,2006,2120.097846
COL,2006,3712.785525
COM,2006,653.9537251
CPV,2006,2566.454022
CRI,2006,5128.400753
CSS,2006,7825.292078
CUB,2006,4666.988169
CYP,2006,23863.55546
CZE,2006,14488.37434
DEU,2006,35237.60326
DJI,2006,976.2929868
DMA,2006,5408.1078
DNK,2006,50462.23358
DOM,2006,3794.07334
DZA,2006,3391.367826
EAP,2006,1936.250891
EAS,2006,4949.74061
ECA,2006,4444.295768
ECS,2006,19902.7062
ECU,2006,3337.400363
EGY,2006,1472.570548
EMU,2006,32797.95963
ERI,2006,240.5468163
ESP,2006,27847.45096
EST,2006,12486.89215
ETH,2006,191.6040212
EUU,2006,29603.57595
FIN,2006,39487.05406
FJI,2006,3747.433691
FRA,2006,35457.05032
FRO,2006,39869.98014
FSM,2006,2393.800551
GAB,2006,6756.271159
GBR,2006,40819.89591
GEO,2006,1764.870436
GHA,2006,929.9455454
GIN,2006,287.9229857
GMB,2006,441.9196561
GNB,2006,398.2471791
GNQ,2006,15451.19974
GRC,2006,23475.22071
GRD,2006,6825.126244
GRL,2006,30620.21553
GTM,2006,2326.299385
GUY,2006,1905.555188
HIC,2006,31601.90881
HKG,2006,28224.21506
HND,2006,1540.580359
HPC,2006,492.263644
HRV,2006,11228.62138
HTI,2006,519.7491433
HUN,2006,11173.56951
IDN,2006,1601.031191
IMN,2006,42402.06631
IND,2006,830.1632213
IRL,2006,52118.80474
IRN,2006,3140.19809
IRQ,2006,2321.152171
ISL,2006,54813.95469
ISR,2006,21405.15946
ITA,2006,31776.97775
JAM,2006,4486.555676
JOR,2006,2719.822469
JPN,2006,34102.20617
KAZ,2006,5291.574368
KEN,2006,612.2325312
KGZ,2006,543.1107024
KHM,2006,536.6577307
KIR,2006,1138.284501
KNA,2006,12634.96332
KOR,2006,19676.14615
KSV,2006,2278.62418
KWT,2006,42011.77433
LAC,2006,5526.847518
LAO,2006,585.6405752
LBN,2006,5499.86465
LBR,2006,178.4537308
LBY,2006,9933.108824
LCA,2006,6072.297574
LCN,2006,5813.146667
LDC,2006,461.9502997
LIC,2006,352.423708
LIE,2006,113873.925
LKA,2006,1423.477215
LMC,2006,1058.889092
LMY,2006,1986.844117
LSO,2006,736.360043
LTU,2006,9201.635519
LUX,2006,90015.5278
LVA,2006,8986.401376
MAC,2006,30363.62373
MAR,2006,2128.074688
MCO,2006,135688.7999
MDA,2006,950.6988847
MDG,2006,292.956519
MDV,2006,4304.056158
MEA,2006,4958.537267
MEX,2006,8618.25138
MHL,2006,2752.323769
MIC,2006,2251.361764
MKD,2006,3133.319212
MLI,2006,496.7442831
MLT,2006,15766.09292
MNA,2006,2497.817556
MNE,2006,4370.597539
MNG,2006,1333.877158
MOZ,2006,328.7073992
MRT,2006,939.1562935
MUS,2006,5373.630551
MWI,2006,234.2123961
MYS,2006,6179.658221
NAC,2006,45743.93272
NAM,2006,3886.480583
NER,2006,266.5794323
NGA,2006,1014.756968
NIC,2006,1228.304847
NLD,2006,41458.93271
NOC,2006,12169.76417
NOR,2006,72959.76801
NPL,2006,352.8009747
NZL,2006,26359.61129
OEC,2006,36148.68906
OED,2006,31769.07471
OMN,2006,14405.09193
OSS,2006,3257.795183
PAK,2006,853.0709659
PAN,2006,4998.382679
PER,2006,3297.5558
PHL,2006,1398.826978
PLW,2006,10499.28297
PNG,2006,896.3948787
POL,2006,8958.012422
PRI,2006,22641.82777
PRT,2006,19177.4259
PRY,2006,1772.635329
PSS,2006,2627.52898
QAT,2006,62920.64413
ROU,2006,5789.244137
RUS,2006,6946.880998
RWA,2006,322.0379666
SAS,2006,785.489497
SAU,2006,14855.00096
SDN,2006,862.2867986
SEN,2006,807.9747355
SGP,2006,33088.74934
SLB,2006,950.0576082
SLE,2006,357.4061037
SLV,2006,3042.748428
SMR,2006,48757.89573
SRB,2006,3942.630985
SSA,2006,964.6620521
SSD,2006,
SSF,2006,976.2667699
SST,2006,4352.947646
STP,2006,781.991277
SUR,2006,5198.270131
SVK,2006,12842.24858
SVN,2006,19405.93327
SWE,2006,43948.61977
SWZ,2006,2636.185356
SYC,2006,12014.41808
SYR,2006,1772.56033
TCD,2006,716.638996
TGO,2006,387.4198489
THA,2006,3143.235855
TJK,2006,406.9634195
TKM,2006,2140.455026
TLS,2006,456.0155909
TON,2006,2912.882481
TTO,2006,14162.80542
TUN,2006,3394.310288
TUR,2006,7736.09839
TUV,2006,2353.403155
TZA,2006,369.4021499
UGA,2006,334.6391876
UKR,2006,2303.018831
UMC,2006,3446.628563
URY,2006,5879.340339
USA,2006,46443.8102
UZB,2006,642.9604146
VCT,2006,5610.608277
VEN,2006,6747.759125
VNM,2006,796.6543615
